Date,Name / Description,Expense/Income,Amount (EUR),Transaction vs category,Transaction,Category
2023-12-30,Belastingdienst,Expense,9.96,Belastingdienst,Belastingdienst,Taxes
2023-12-30,Tesco Breda,Expense,17.53,Tesco Breda,Tesco Breda,Grocery
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46,Vishandel Sier Amsterdam,Vishandel Sier Amsterdam,Food
2023-12-29,Selling Paintings,Income,13.63,Selling Paintings,Selling Paintings,Miscellaneous
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08,Tk Maxx Amsterdam Da,Tk Maxx Amsterdam Da,Retail
2023-12-22,Consulting,Income,541.57,Consulting,Consulting,Business
2023-12-22,Aidsfonds,Expense,10.7,Aidsfonds,Aidsfonds,Charity
2023-12-20,Consulting,Income,2641.93,Consulting,Consulting,Business
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9,Tls Bv Inz Ov-Chipkaart,Tls Bv Inz Ov-Chipkaart,Transportation
2023-12-18,Etos Amsterdam,Expense,17.67,Etos Amsterdam,Etos Amsterdam,Health
2023-12-18,Tesco Breda,Expense,8.809999999999999,Tesco Breda,Tesco Breda,Grocery
2022-11-26,Salary,Income,14.36,Salary,Salary,Income
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27,Bouldermuur Bv Amsterdam,Bouldermuur Bv Amsterdam,Sport
2022-11-25,Tesco Breda,Expense,17.35,Tesco Breda,Tesco Breda,Grocery
2022-11-24,Freelancing,Income,2409.55,Freelancing,Freelancing,Business
2022-11-19,Tikkie,Expense,20.76,Tikkie,Tikkie,Miscellaneous
2022-10-25,Blogging,Income,4044.27,Blogging,Blogging,Business
2022-10-24,Taxi Utrecht,Expense,18.9,Taxi Utrecht,Taxi Utrecht,Transportation
2022-10-23,Tesco Breda,Expense,27.54,Tesco Breda,Tesco Breda,Grocery
2022-10-22,Apple Services,Expense,41.25,Apple Services,Apple Services,Technology
2022-10-21,Tesco Breda,Expense,22.8,Tesco Breda,Tesco Breda,Grocery
2022-01-16,Amazon Lux,Expense,24.11,Amazon Lux,Amazon Lux,Retail
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0,Audible Uk AdblCo/Pymt Gbr,Audible Uk AdblCo/Pymt Gbr,Entertainment
